name,description,category,price,calories,protein,fat,carbohydrates,image
Chicken Alfredo Pasta #48,Topped with fresh herbs.,Wrap,19.35,279,28.4,12.3,16.0,https://example.com/images/item_48.jpg
Grilled Chicken Sandwich #49,Perfect for lunch or dinner.,Wrap,14.02,472,15.5,8.5,77.1,https://example.com/images/item_49.jpg
Grilled Chicken Sandwich #50,Topped with fresh herbs.,Pizza,12.25,627,15.6,5.1,49.8,https://example.com/images/item_50.jpg
Tomato Soup #51,Perfect for lunch or dinner.,Burger,19.8,631,14.2,8.3,35.1,https://example.com/images/item_51.jpg
Vegan Buddha Bowl #52,Topped with fresh herbs.,Sandwich,15.29,173,6.5,20.4,26.6,https://example.com/images/item_52.jpg
Chicken Alfredo Pasta #53,Delicious and freshly prepared.,Drink,12.36,740,19.5,15.5,70.6,https://example.com/images/item_53.jpg
Tomato Soup #54,Perfect for lunch or dinner.,Salad,9.8,463,13.9,19.7,67.9,https://example.com/images/item_54.jpg
Grilled Chicken Sandwich #55,Topped with fresh herbs.,Pizza,11.73,791,22.8,17.1,66.3,https://example.com/images/item_55.jpg
Lemonade #56,Served with a side of bread.,Burger,13.64,367,24.5,12.7,71.7,https://example.com/images/item_56.jpg
Grilled Chicken Sandwich #57,Rich in flavor and nutrients.,Bowl,18.93,751,25.3,7.4,58.6,https://example.com/images/item_57.jpg
Chocolate Cake #58,Topped with fresh herbs.,Drink,15.68,223,12.4,10.6,12.1,https://example.com/images/item_58.jpg
Grilled Chicken Sandwich #59,Delicious and freshly prepared.,Soup,17.27,421,15.5,9.7,56.0,https://example.com/images/item_59.jpg
Greek Salad #60,Topped with fresh herbs.,Burger,14.81,710,18.4,8.4,40.1,https://example.com/images/item_60.jpg
Vegan Buddha Bowl #61,Topped with fresh herbs.,Dessert,16.05,456,9.9,23.9,78.2,https://example.com/images/item_61.jpg
Chicken Alfredo Pasta #62,Topped with fresh herbs.,Burger,6.62,256,5.1,7.3,61.8,https://example.com/images/item_62.jpg
Vegan Buddha Bowl #63,Topped with fresh herbs.,Drink,14.53,208,25.0,19.1,18.3,https://example.com/images/item_63.jpg
Tomato Soup #64,Delicious and freshly prepared.,Burger,17.58,363,25.1,9.8,18.4,https://example.com/images/item_64.jpg
Lemonade #65,Topped with fresh herbs.,Bowl,5.08,228,17.0,23.4,30.0,https://example.com/images/item_65.jpg
Turkey Club Sandwich #66,Topped with fresh herbs.,Pizza,12.11,420,20.2,14.7,73.1,https://example.com/images/item_66.jpg
Quinoa Salad #67,Delicious and freshly prepared.,Dessert,6.76,357,16.4,18.4,51.6,https://example.com/images/item_67.jpg
Tomato Soup #68,Topped with fresh herbs.,Drink,11.06,365,20.0,4.4,75.6,https://example.com/images/item_68.jpg
Spaghetti Bolognese #69,Topped with fresh herbs.,Bowl,16.88,113,13.4,23.6,32.8,https://example.com/images/item_69.jpg
Chocolate Cake #70,Delicious and freshly prepared.,Drink,7.81,307,9.5,14.5,36.2,https://example.com/images/item_70.jpg
Margherita Pizza #71,Served with a side of bread.,Burger,11.12,712,13.5,10.1,64.8,https://example.com/images/item_71.jpg
Pepperoni Pizza #72,A customer favorite with premium ingredients.,Salad,19.97,343,17.8,10.1,28.3,https://example.com/images/item_72.jpg
Caesar Salad #73,Delicious and freshly prepared.,Pizza,8.26,577,16.1,24.3,48.7,https://example.com/images/item_73.jpg
Cheeseburger #74,Topped with fresh herbs.,Burger,14.54,606,5.8,17.6,69.6,https://example.com/images/item_74.jpg
Margherita Pizza #75,Delicious and freshly prepared.,Wrap,11.71,477,18.1,24.6,78.9,https://example.com/images/item_75.jpg
Margherita Pizza #76,Served with a side of bread.,Salad,9.52,566,6.9,6.7,49.8,https://example.com/images/item_76.jpg
Chicken Alfredo Pasta #77,Delicious and freshly prepared.,Sandwich,17.66,396,29.0,18.8,62.4,https://example.com/images/item_77.jpg
Spaghetti Bolognese #78,Perfect for lunch or dinner.,Sandwich,6.55,362,13.9,3.8,69.8,https://example.com/images/item_78.jpg
Tomato Soup #79,Topped with fresh herbs.,Bowl,5.98,147,25.6,7.3,39.3,https://example.com/images/item_79.jpg
Caesar Salad #80,A customer favorite with premium ingredients.,Drink,9.97,749,17.0,6.0,53.2,https://example.com/images/item_80.jpg
Lemonade #81,Served with a side of bread.,Drink,16.54,419,6.1,15.1,23.6,https://example.com/images/item_81.jpg
Lemonade #82,Served with a side of bread.,Sandwich,7.29,519,12.1,10.7,20.0,https://example.com/images/item_82.jpg
Chocolate Cake #83,Delicious and freshly prepared.,Burger,9.99,524,28.4,18.5,47.5,https://example.com/images/item_83.jpg
Veggie Wrap #84,A customer favorite with premium ingredients.,Drink,10.87,449,7.0,11.7,52.2,https://example.com/images/item_84.jpg
Chocolate Cake #85,A customer favorite with premium ingredients.,Dessert,16.2,768,15.2,20.8,35.3,https://example.com/images/item_85.jpg
Grilled Chicken Sandwich #86,Served with a side of bread.,Pizza,16.61,349,22.1,18.0,57.8,https://example.com/images/item_86.jpg
Quinoa Salad #87,Delicious and freshly prepared.,Wrap,5.65,629,10.2,13.3,10.4,https://example.com/images/item_87.jpg
Lemonade #88,A customer favorite with premium ingredients.,Wrap,18.66,469,14.7,5.7,75.6,https://example.com/images/item_88.jpg
Veggie Wrap #89,Perfect for lunch or dinner.,Sandwich,18.31,197,24.2,7.8,14.7,https://example.com/images/item_89.jpg
Pepperoni Pizza #90,Served with a side of bread.,Sandwich,6.74,289,15.5,21.9,21.4,https://example.com/images/item_90.jpg
Quinoa Salad #91,Perfect for lunch or dinner.,Sandwich,11.05,418,8.0,7.9,42.4,https://example.com/images/item_91.jpg
Vegan Buddha Bowl #92,A customer favorite with premium ingredients.,Pizza,7.97,240,17.4,7.2,22.1,https://example.com/images/item_92.jpg
Tomato Soup #93,Perfect for lunch or dinner.,Sandwich,11.54,627,22.7,23.4,24.2,https://example.com/images/item_93.jpg
Greek Salad #94,Served with a side of bread.,Dessert,12.28,224,6.8,13.4,45.2,https://example.com/images/item_94.jpg
Vegan Buddha Bowl #95,Served with a side of bread.,Sandwich,5.63,247,16.9,4.5,56.5,https://example.com/images/item_95.jpg
Turkey Club Sandwich #96,A customer favorite with premium ingredients.,Pasta,7.81,726,9.7,12.6,72.2,https://example.com/images/item_96.jpg
Quinoa Salad #97,Delicious and freshly prepared.,Dessert,15.18,497,28.7,14.9,78.8,https://example.com/images/item_97.jpg
Spaghetti Bolognese #98,Delicious and freshly prepared.,Drink,13.69,363,7.3,10.9,63.6,https://example.com/images/item_98.jpg
Veggie Wrap #99,A customer favorite with premium ingredients.,Salad,19.09,487,27.6,21.9,18.9,https://example.com/images/item_99.jpg
Pepperoni Pizza #100,Perfect for lunch or dinner.,Soup,7.17,599,9.7,17.2,67.6,https://example.com/images/item_100.jpg
Spaghetti Bolognese #101,Topped with fresh herbs.,Sandwich,9.43,209,25.7,12.3,29.7,https://example.com/images/item_101.jpg
Spaghetti Bolognese #102,Delicious and freshly prepared.,Pizza,7.43,294,19.4,21.6,27.2,https://example.com/images/item_102.jpg
Chocolate Cake #103,Topped with fresh herbs.,Sandwich,15.87,435,25.4,8.0,60.3,https://example.com/images/item_103.jpg
Spaghetti Bolognese #104,A customer favorite with premium ingredients.,Drink,10.21,590,25.7,4.1,44.3,https://example.com/images/item_104.jpg
Turkey Club Sandwich #105,Rich in flavor and nutrients.,Drink,13.59,669,5.2,3.8,39.2,https://example.com/images/item_105.jpg
Cheeseburger #106,Perfect for lunch or dinner.,Salad,14.58,750,15.3,4.4,13.5,https://example.com/images/item_106.jpg
Vegan Buddha Bowl #107,Rich in flavor and nutrients.,Pasta,16.63,425,5.1,13.6,21.7,https://example.com/images/item_107.jpg
Cheeseburger #108,A customer favorite with premium ingredients.,Drink,9.49,612,9.8,8.1,55.5,https://example.com/images/item_108.jpg
Lemonade #109,Delicious and freshly prepared.,Wrap,15.59,585,17.0,21.5,46.8,https://example.com/images/item_109.jpg
Vegan Buddha Bowl #110,Rich in flavor and nutrients.,Salad,14.95,775,5.7,23.2,31.4,https://example.com/images/item_110.jpg
Grilled Chicken Sandwich #111,Perfect for lunch or dinner.,Pizza,6.16,191,12.2,15.2,41.5,https://example.com/images/item_111.jpg
Vegan Buddha Bowl #112,A customer favorite with premium ingredients.,Drink,7.22,725,28.4,11.6,31.3,https://example.com/images/item_112.jpg
Veggie Wrap #113,Served with a side of bread.,Pizza,12.22,582,11.3,16.6,49.9,https://example.com/images/item_113.jpg
Lemonade #114,Delicious and freshly prepared.,Dessert,5.93,732,20.9,21.5,35.4,https://example.com/images/item_114.jpg
Chocolate Cake #115,Served with a side of bread.,Drink,11.41,252,16.1,6.0,64.9,https://example.com/images/item_115.jpg
Vegan Buddha Bowl #116,A customer favorite with premium ingredients.,Wrap,8.67,341,21.8,10.9,63.3,https://example.com/images/item_116.jpg
Greek Salad #117,Served with a side of bread.,Bowl,12.14,385,7.9,10.3,29.1,https://example.com/images/item_117.jpg
Spaghetti Bolognese #118,Rich in flavor and nutrients.,Soup,16.79,112,24.5,23.1,16.2,https://example.com/images/item_118.jpg
Quinoa Salad #119,A customer favorite with premium ingredients.,Bowl,16.38,571,10.3,21.8,79.6,https://example.com/images/item_119.jpg
Grilled Chicken Sandwich #120,Served with a side of bread.,Burger,14.07,685,10.6,8.3,50.3,https://example.com/images/item_120.jpg
Cheeseburger #121,Perfect for lunch or dinner.,Drink,17.18,597,23.7,3.6,27.0,https://example.com/images/item_121.jpg
Grilled Chicken Sandwich #122,Served with a side of bread.,Wrap,17.54,415,9.4,14.4,18.7,https://example.com/images/item_122.jpg
Caesar Salad #123,Delicious and freshly prepared.,Bowl,14.77,236,15.7,21.6,58.8,https://example.com/images/item_123.jpg
Quinoa Salad #124,Perfect for lunch or dinner.,Pizza,11.53,439,23.1,24.3,63.1,https://example.com/images/item_124.jpg
Veggie Wrap #125,Served with a side of bread.,Salad,5.96,424,9.5,19.3,31.3,https://example.com/images/item_125.jpg
Spaghetti Bolognese #126,Served with a side of bread.,Drink,18.73,115,6.2,20.2,30.7,https://example.com/images/item_126.jpg
Caesar Salad #127,Rich in flavor and nutrients.,Drink,13.46,682,21.1,12.5,74.1,https://example.com/images/item_127.jpg
Margherita Pizza #128,Topped with fresh herbs.,Sandwich,15.0,757,23.0,14.6,54.4,https://example.com/images/item_128.jpg
Greek Salad #129,Served with a side of bread.,Sandwich,11.5,407,26.4,22.0,48.9,https://example.com/images/item_129.jpg
Grilled Chicken Sandwich #130,Perfect for lunch or dinner.,Drink,10.74,392,24.9,17.6,38.3,https://example.com/images/item_130.jpg
Pepperoni Pizza #131,Served with a side of bread.,Dessert,15.77,151,10.6,4.0,34.2,https://example.com/images/item_131.jpg
Tomato Soup #132,Topped with fresh herbs.,Sandwich,8.81,420,11.2,10.1,47.3,https://example.com/images/item_132.jpg
Chocolate Cake #133,Delicious and freshly prepared.,Dessert,8.1,121,20.2,14.2,39.7,https://example.com/images/item_133.jpg
Quinoa Salad #134,Delicious and freshly prepared.,Sandwich,18.69,470,28.5,22.4,68.1,https://example.com/images/item_134.jpg
Greek Salad #135,Served with a side of bread.,Salad,8.0,404,23.9,9.5,22.4,https://example.com/images/item_135.jpg
Tomato Soup #136,Perfect for lunch or dinner.,Dessert,7.26,260,12.9,24.8,71.9,https://example.com/images/item_136.jpg
Margherita Pizza #137,Served with a side of bread.,Drink,13.88,367,28.4,23.8,43.7,https://example.com/images/item_137.jpg
Tomato Soup #138,A customer favorite with premium ingredients.,Bowl,19.06,380,12.0,19.0,23.0,https://example.com/images/item_138.jpg
Turkey Club Sandwich #139,Topped with fresh herbs.,Salad,12.82,506,27.1,13.2,24.4,https://example.com/images/item_139.jpg
Caesar Salad #140,Rich in flavor and nutrients.,Drink,12.38,409,12.0,15.7,62.0,https://example.com/images/item_140.jpg
Lemonade #141,A customer favorite with premium ingredients.,Wrap,16.05,123,29.6,6.2,50.7,https://example.com/images/item_141.jpg
Grilled Chicken Sandwich #142,Delicious and freshly prepared.,Salad,10.31,204,14.8,19.3,64.1,https://example.com/images/item_142.jpg
Grilled Chicken Sandwich #143,Rich in flavor and nutrients.,Soup,16.49,422,24.1,11.5,55.2,https://example.com/images/item_143.jpg
Caesar Salad #144,Rich in flavor and nutrients.,Dessert,5.35,737,8.1,15.8,78.2,https://example.com/images/item_144.jpg
Pepperoni Pizza #145,Rich in flavor and nutrients.,Wrap,8.9,663,19.1,20.3,61.1,https://example.com/images/item_145.jpg
Grilled Chicken Sandwich #146,A customer favorite with premium ingredients.,Bowl,7.69,710,11.3,12.9,51.4,https://example.com/images/item_146.jpg
Greek Salad #147,Delicious and freshly prepared.,Drink,12.55,443,25.6,21.3,32.9,https://example.com/images/item_147.jpg
Lemonade #148,Perfect for lunch or dinner.,Burger,12.42,274,14.9,7.4,75.6,https://example.com/images/item_148.jpg
Tomato Soup #149,Served with a side of bread.,Bowl,14.4,182,17.6,16.1,74.7,https://example.com/images/item_149.jpg
Grilled Chicken Sandwich #150,A customer favorite with premium ingredients.,Soup,17.48,318,20.7,9.1,13.5,https://example.com/images/item_150.jpg
Quinoa Salad #151,A customer favorite with premium ingredients.,Soup,5.84,270,22.5,22.4,25.0,https://example.com/images/item_151.jpg
Cheeseburger #152,A customer favorite with premium ingredients.,Wrap,14.89,229,19.8,11.7,56.1,https://example.com/images/item_152.jpg
Caesar Salad #153,Topped with fresh herbs.,Soup,14.67,248,24.5,18.1,67.9,https://example.com/images/item_153.jpg
Grilled Chicken Sandwich #154,Delicious and freshly prepared.,Wrap,15.23,157,16.7,24.5,55.6,https://example.com/images/item_154.jpg
Margherita Pizza #155,Topped with fresh herbs.,Pasta,11.35,785,18.8,7.2,23.2,https://example.com/images/item_155.jpg
Pepperoni Pizza #156,Perfect for lunch or dinner.,Drink,15.89,116,15.6,11.5,74.3,https://example.com/images/item_156.jpg
Turkey Club Sandwich #157,Delicious and freshly prepared.,Sandwich,8.0,509,26.6,16.0,48.6,https://example.com/images/item_157.jpg
Chocolate Cake #158,Delicious and freshly prepared.,Bowl,15.22,719,27.0,3.9,34.1,https://example.com/images/item_158.jpg
Spaghetti Bolognese #159,Served with a side of bread.,Drink,10.77,101,24.1,13.2,32.8,https://example.com/images/item_159.jpg
Lemonade #160,Delicious and freshly prepared.,Salad,15.57,535,20.8,22.0,11.1,https://example.com/images/item_160.jpg
Quinoa Salad #161,Served with a side of bread.,Sandwich,12.42,476,24.4,12.0,14.8,https://example.com/images/item_161.jpg
Chicken Alfredo Pasta #162,Topped with fresh herbs.,Pizza,6.81,441,18.0,15.1,66.6,https://example.com/images/item_162.jpg
Chocolate Cake #163,A customer favorite with premium ingredients.,Dessert,14.87,161,5.4,19.3,65.6,https://example.com/images/item_163.jpg
Grilled Chicken Sandwich #164,Perfect for lunch or dinner.,Wrap,17.81,484,6.6,15.8,44.5,https://example.com/images/item_164.jpg
Pepperoni Pizza #165,A customer favorite with premium ingredients.,Dessert,17.53,195,24.2,17.4,50.0,https://example.com/images/item_165.jpg
Chocolate Cake #166,Perfect for lunch or dinner.,Burger,6.39,163,17.8,21.1,43.6,https://example.com/images/item_166.jpg
Pepperoni Pizza #167,Rich in flavor and nutrients.,Bowl,11.4,441,14.8,24.1,79.5,https://example.com/images/item_167.jpg
Margherita Pizza #168,Perfect for lunch or dinner.,Bowl,6.36,338,10.8,12.9,16.7,https://example.com/images/item_168.jpg
Greek Salad #169,Served with a side of bread.,Drink,13.0,240,19.2,19.6,43.1,https://example.com/images/item_169.jpg
Vegan Buddha Bowl #170,Delicious and freshly prepared.,Dessert,10.29,192,23.6,10.1,71.3,https://example.com/images/item_170.jpg
Chicken Alfredo Pasta #171,Served with a side of bread.,Dessert,14.79,411,10.5,19.6,74.4,https://example.com/images/item_171.jpg
Margherita Pizza #172,Perfect for lunch or dinner.,Soup,5.45,747,23.6,16.0,62.3,https://example.com/images/item_172.jpg
Turkey Club Sandwich #173,Topped with fresh herbs.,Drink,16.06,622,19.2,21.5,22.5,https://example.com/images/item_173.jpg
Turkey Club Sandwich #174,Delicious and freshly prepared.,Drink,12.7,727,22.3,15.5,15.4,https://example.com/images/item_174.jpg
Veggie Wrap #175,Served with a side of bread.,Dessert,13.35,109,26.0,13.2,66.8,https://example.com/images/item_175.jpg
Chicken Alfredo Pasta #176,Delicious and freshly prepared.,Bowl,11.27,528,8.4,10.9,13.8,https://example.com/images/item_176.jpg
Grilled Chicken Sandwich #177,Delicious and freshly prepared.,Burger,11.07,619,27.9,12.1,14.3,https://example.com/images/item_177.jpg
Grilled Chicken Sandwich #178,Topped with fresh herbs.,Pizza,19.16,347,10.0,4.7,38.0,https://example.com/images/item_178.jpg
Turkey Club Sandwich #179,A customer favorite with premium ingredients.,Pasta,15.01,404,15.7,23.1,39.3,https://example.com/images/item_179.jpg
Caesar Salad #180,Served with a side of bread.,Sandwich,5.2,741,19.6,6.1,74.8,https://example.com/images/item_180.jpg
Caesar Salad #181,Served with a side of bread.,Pizza,17.71,343,23.0,23.3,13.9,https://example.com/images/item_181.jpg
Turkey Club Sandwich #182,Served with a side of bread.,Wrap,17.76,241,22.3,20.8,66.6,https://example.com/images/item_182.jpg
Turkey Club Sandwich #183,Rich in flavor and nutrients.,Bowl,12.27,226,15.3,13.2,70.9,https://example.com/images/item_183.jpg
Pepperoni Pizza #184,Rich in flavor and nutrients.,Sandwich,11.49,737,9.1,5.6,43.8,https://example.com/images/item_184.jpg
Grilled Chicken Sandwich #185,Rich in flavor and nutrients.,Pasta,5.03,625,18.9,4.7,66.3,https://example.com/images/item_185.jpg
Grilled Chicken Sandwich #186,Delicious and freshly prepared.,Salad,17.19,149,19.7,5.3,60.2,https://example.com/images/item_186.jpg
Grilled Chicken Sandwich #187,Perfect for lunch or dinner.,Pasta,18.08,369,25.1,16.1,28.5,https://example.com/images/item_187.jpg
Tomato Soup #188,Perfect for lunch or dinner.,Burger,10.05,506,9.9,16.1,13.0,https://example.com/images/item_188.jpg
Margherita Pizza #189,Delicious and freshly prepared.,Wrap,12.93,704,25.9,20.2,16.2,https://example.com/images/item_189.jpg
Pepperoni Pizza #190,Delicious and freshly prepared.,Sandwich,7.7,525,28.8,3.4,23.4,https://example.com/images/item_190.jpg
Quinoa Salad #191,Served with a side of bread.,Burger,8.13,141,28.5,12.7,32.7,https://example.com/images/item_191.jpg
Turkey Club Sandwich #192,Topped with fresh herbs.,Bowl,18.65,513,12.8,14.8,66.0,https://example.com/images/item_192.jpg
Quinoa Salad #193,Topped with fresh herbs.,Burger,12.59,187,23.3,14.4,44.8,https://example.com/images/item_193.jpg
Spaghetti Bolognese #194,Perfect for lunch or dinner.,Sandwich,13.84,551,21.7,19.1,68.0,https://example.com/images/item_194.jpg
Veggie Wrap #195,Delicious and freshly prepared.,Soup,11.51,528,17.8,7.8,12.1,https://example.com/images/item_195.jpg
Chocolate Cake #196,Topped with fresh herbs.,Drink,10.79,558,10.7,15.3,23.3,https://example.com/images/item_196.jpg
Caesar Salad #197,Topped with fresh herbs.,Drink,17.16,758,24.5,4.3,79.4,https://example.com/images/item_197.jpg
Lemonade #198,Rich in flavor and nutrients.,Dessert,5.91,150,29.9,9.0,68.7,https://example.com/images/item_198.jpg
Pepperoni Pizza #199,Rich in flavor and nutrients.,Sandwich,14.68,705,29.1,19.8,59.9,https://example.com/images/item_199.jpg
Cheeseburger #200,A customer favorite with premium ingredients.,Wrap,7.19,416,23.1,11.3,45.0,https://example.com/images/item_200.jpg
Margherita Pizza #201,A customer favorite with premium ingredients.,Salad,14.89,796,18.7,13.3,62.2,https://example.com/images/item_201.jpg
Chocolate Cake #202,Delicious and freshly prepared.,Burger,19.36,148,22.1,11.7,13.9,https://example.com/images/item_202.jpg
Greek Salad #203,Topped with fresh herbs.,Salad,10.8,513,13.8,21.9,50.5,https://example.com/images/item_203.jpg
Quinoa Salad #204,Topped with fresh herbs.,Bowl,15.54,115,9.6,3.3,69.1,https://example.com/images/item_204.jpg
Caesar Salad #205,Served with a side of bread.,Bowl,8.57,428,18.5,11.0,62.9,https://example.com/images/item_205.jpg
Chocolate Cake #206,A customer favorite with premium ingredients.,Burger,14.41,472,23.6,24.1,60.1,https://example.com/images/item_206.jpg
Caesar Salad #207,A customer favorite with premium ingredients.,Burger,12.08,426,21.3,4.8,56.0,https://example.com/images/item_207.jpg
Caesar Salad #208,Rich in flavor and nutrients.,Wrap,13.66,641,28.7,5.8,55.8,https://example.com/images/item_208.jpg
Greek Salad #209,Topped with fresh herbs.,Dessert,12.22,633,25.5,15.9,50.8,https://example.com/images/item_209.jpg
Tomato Soup #210,Perfect for lunch or dinner.,Drink,6.42,116,13.7,10.5,37.3,https://example.com/images/item_210.jpg
Lemonade #211,Rich in flavor and nutrients.,Wrap,6.16,258,12.2,20.3,30.8,https://example.com/images/item_211.jpg
Grilled Chicken Sandwich #212,Delicious and freshly prepared.,Drink,11.31,666,20.6,10.5,43.9,https://example.com/images/item_212.jpg
Turkey Club Sandwich #213,Topped with fresh herbs.,Sandwich,9.68,635,24.4,24.1,13.4,https://example.com/images/item_213.jpg
Lemonade #214,Topped with fresh herbs.,Bowl,16.44,688,27.4,16.9,12.7,https://example.com/images/item_214.jpg
Veggie Wrap #215,Rich in flavor and nutrients.,Sandwich,13.7,204,26.8,5.5,29.0,https://example.com/images/item_215.jpg
Tomato Soup #216,Topped with fresh herbs.,Pasta,16.54,489,27.8,4.0,24.4,https://example.com/images/item_216.jpg
Grilled Chicken Sandwich #217,Perfect for lunch or dinner.,Wrap,6.13,767,7.5,20.0,15.0,https://example.com/images/item_217.jpg
Vegan Buddha Bowl #218,Rich in flavor and nutrients.,Burger,6.63,312,11.1,11.1,63.9,https://example.com/images/item_218.jpg
